product_key,country,current_price_usd,siamese_fair_price_usd,lightgbm_fair_price_usd,combined_fair_price_usd,siamese_gap_usd,lightgbm_gap_usd,combined_gap_usd,siamese_action,lightgbm_action,combined_action,siamese_confidence,lightgbm_confidence,combined_confidence,model_action_agreement
nike gym heritage||apparel||men's dri-fit fleece training top||dark team red/heather/pale ivory/dark team red||men,FI,81.7391,,53.1404,53.1404,,28.5987,28.5987,,lower_price,lower_price,,0.5002,0.5002,na
ナイキ エアロスイフト||apparel||メンズ dri-fit adv ランニングパンツ||ブラック/サミットホワイト||men,JP,115.709,,87.2695,87.2695,,28.4395,28.4395,,lower_price,lower_price,,0.503,0.503,na
nike||apparel||younger kids' printed hooded jacket||black||boys,FI,87.1891,,58.5159,58.5159,,28.6732,28.6732,,lower_price,lower_price,,0.4989,0.4989,na
boston celtics statement edition||apparel||men's jordan dri-fit nba swingman jersey||black||men,SI,114.4391,,85.7141,85.7141,,28.725,28.725,,lower_price,lower_price,,0.498,0.498,na
oregon alt||apparel||men's nike dri-fit college t-shirt||anthracite||men,US,42.0,,70.4961,70.4961,,-28.4961,-28.4961,,raise_price,raise_price,,0.502,0.502,na
nike sportswear phoenix fleece||apparel||women's mid-rise tracksuit bottoms||silt red/sail||women,FI,59.9391,,88.3446,88.3446,,-28.4055,-28.4055,,raise_price,raise_price,,0.5036,0.5036,na
ジョーダン dri-fit スポーツ||apparel||メンズ ウーブン ショートパンツ||ブラック/ジムレッド/ブラック||men,JP,35.376,,63.9403,63.9403,,-28.5643,-28.5643,,raise_price,raise_price,,0.5008,0.5008,na
ジョーダン dri-fit スポーツ||apparel||メンズ ウーブン ショートパンツ||ブラック/ホワイト/ブラック||men,JP,35.376,,63.9403,63.9403,,-28.5643,-28.5643,,raise_price,raise_price,,0.5008,0.5008,na
ナイキ ティエンポ レジェンド 10 プロ||footwear||ターフ ローカット サッカーシューズ||ブルーエクリプス/ブラック||men|women,JP,109.076,,137.8182,137.8182,,-28.7422,-28.7422,,raise_price,raise_price,,0.4977,0.4977,na
ナイキ コート ビジョン low||footwear||メンズシューズ||セイル/ガムライトブラウン/ライトアイアンオール/ミッドナイトネイビー||men,JP,58.96,,87.6388,87.6388,,-28.6788,-28.6788,,raise_price,raise_price,,0.4988,0.4988,na
nike sportswear club||apparel||men's woven cargo pants||black/white||men,US,105.0,,76.142,76.142,,28.858,28.858,,lower_price,lower_price,,0.4957,0.4957,na
nike one||apparel||women's high-waisted capri leggings||black/black||women,US,55.0,,83.7709,83.7709,,-28.7709,-28.7709,,raise_price,raise_price,,0.4972,0.4972,na
ナイキ ペガサス イージーオン||footwear||メンズ ロード ランニングシューズ||ホワイト/ピュアプラチナム/ダークスモークグレー/ホワイト||men,JP,110.55,,139.2862,139.2862,,-28.7362,-28.7362,,raise_price,raise_price,,0.4978,0.4978,na
orlando magic||apparel||jordan statement men's nike nba t-shirt||game royal||men,US,42.0,,70.4278,70.4278,,-28.4278,-28.4278,,raise_price,raise_price,,0.5032,0.5032,na
nike sportswear club essentials||apparel||women's t-shirt (plus size)||white/black||women,FI,27.2391,,55.7462,55.7462,,-28.5071,-28.5071,,raise_price,raise_price,,0.5018,0.5018,na
cincinnati bengals blitz victory||apparel||men’s nike dri-fit nfl shorts||black||men,US,55.0,,83.7361,83.7361,,-28.7361,-28.7361,,raise_price,raise_price,,0.4978,0.4978,na
cincinnati bengals sideline coach||apparel||men's nike dri-fit nfl top||black||men,US,55.0,,83.7361,83.7361,,-28.7361,-28.7361,,raise_price,raise_price,,0.4978,0.4978,na
ナイキ スポーツウェア クラブ フリース||apparel||ウィメンズ ミッドライズ ショートパンツ||ブラック/ホワイト||women,JP,46.431,,75.2481,75.2481,,-28.8171,-28.8171,,raise_price,raise_price,,0.4964,0.4964,na
netherlands||apparel||2025/2026 nike club cap||obsidian/safety orange||men|women,SI,32.6891,,61.0942,61.0942,,-28.4051,-28.4051,,raise_price,raise_price,,0.5036,0.5036,na
atlético madrid 2024/25 stadium home||apparel||older kids' nike dri-fit football replica shirt||hyper royal/light crimson/white||boys|girls,FI,95.9091,,67.3623,67.3623,,28.5468,28.5468,,lower_price,lower_price,,0.5011,0.5011,na
